Productos,Precio de Costo,Precio de Venta,Precio de venta a extensiones,Precio Límite,,,
Agogó 2 bocas IVSOM ,"$46,500.00","$70,215.00","$65,565.00","$99,003.15",,,
Agogó 4 bocas IVSOM,"$156,600.00","$236,466.00","$220,806.00","$333,417.06",,real:,300
Agogó 2 bocas Gope,"$68,700.00","$103,737.00","$96,867.00","$146,269.17",,,
Agogó 4 bocas Contemporánea,"$158,700.00","$239,637.00","$223,767.00","$337,888.17",,,
Baqueta 3 gotas Japa,"$9,000.00","$13,590.00","$12,690.00","$19,161.90",,,
Baqueta 3 gotas Liverpool,"$7,200.00","$10,872.00","$10,152.00","$15,329.52",,,
Baqueta frigideira IVSOM,"$9,450.00","$14,269.50","$13,324.50","$20,120.00",,,
Baqueta tamborim 3 puntas IVSOM,"$9,450.00","$14,269.50","$13,324.50","$20,120.00",,,
Baqueta tamborim 4 puntas IVSOM ,"$10,950.00","$16,534.50","$15,439.50","$23,313.65",,,
Baqueta tamborim 5 puntas IVSOM,"$12,000.00","$18,120.00","$16,920.00","$25,549.20",,,
Baqueta tamborim 7 puntas IVSOM,"$16,800.00","$25,368.00","$23,688.00","$35,768.88",,,
Bordãos,"$2,550.00","$3,850.50","$3,595.50","$5,429.21",,,
Bordãos IVSOM,"$1,500.00","$2,265.00","$2,115.00","$3,193.65",,,
"Bumbo Fuzileiro 22"" Duralumínio IVSOM","$147,300.00","$222,423.00","$207,693.00","$313,616.43",,,
"Caixa 10""x17cm Duralumínio 4 cuerdas IVSOM","$41,400.00","$62,514.00","$58,374.00","$88,144.74",,,
"Caixa 12"" Duralumínio 4 cuerdas IVSOM","$58,200.00","$87,882.00","$82,062.00","$123,913.62",,,
"Caixa 12"" Duralumínio 6 cuerdas IVSOM","$71,400.00","$107,814.00","$100,674.00","$152,017.74",,,
"Caixa 12"" Duralumínio doble afinación IVSOM","$93,900.00","$141,789.00","$132,399.00","$199,922.49",,,
"Caixa 12"" Galvanizada 4 cuerdas IVSOM","$50,700.00","$76,557.00","$71,487.00","$107,945.37",,,
"Caixa 12"" Galvanizada 6 cuerdas IVSOM","$52,800.00","$79,728.00","$74,448.00","$112,416.48",,,
"Caixa 12"" son doble doble afinación aro confortable IVSOM","$109,800.00","$165,798.00","$154,818.00","$233,775.18",,,
"Caixa 12"" son doble doble afinación vazada IVSOM","$99,000.00","$149,490.00","$139,590.00","$210,780.90",,,
"Caixa 12"" son doble vazada 6 cuerdas IVSOM","$82,200.00","$124,122.00","$115,902.00","$175,012.02",,,
"Caixa 14"" Duralumínio 6 cuerdas IVSOM","$79,500.00","$120,045.00","$112,095.00","$169,263.45",,,
"Caixa 14"" son doble doble afinación vazada IVSOM","$116,400.00","$175,764.00","$164,124.00","$247,827.24",,,
"Caixa 14"" son doble vazada 6 cuerdas IVSOM","$84,600.00","$127,746.00","$119,286.00","$180,121.86",,,
"Caixa 20x12"" Contemporánea","$179,700.00","$271,347.00","$253,377.00","$382,599.27",,,
